Airline,Origin,Destination,Total_Delay,Latitude_OR,Longitude_OR,Latitude_DEST,Longitude_DEST
AA,ABQ,DFW,6.29,35.040199,-106.609001,32.896801,-97.038002
AA,SAN,ORD,6.29,32.7336006165,-117.190002441,41.9786,-87.9048
AA,BTV,PHL,6.27,44.471900939899996,-73.15329742429999,39.87189865112305,-75.24109649658203
AA,LGA,BOS,6.26,40.77719879,-73.87259674,42.36429977,-71.00520325
AA,TUL,DFW,6.26,36.19839859008789,-95.88809967041016,32.896801,-97.038002
AA,CRP,DFW,6.25,27.77039909362793,-97.5011978149414,32.896801,-97.038002
AA,PHX,DEN,6.22,33.43429946899414,-112.01200103759766,39.861698150635,-104.672996521
AA,SAV,CLT,6.22,32.12760162,-81.20210266,35.2140007019043,-80.94309997558594
AA,BOS,PHX,6.21,42.36429977,-71.00520325,33.43429946899414,-112.01200103759766
AA,PHX,MCO,6.21,33.43429946899414,-112.01200103759766,28.429399490356445,-81.30899810791016
AA,GEG,DFW,6.2,47.61989974975586,-117.53399658203125,32.896801,-97.038002
AA,TPA,ORD,6.17,27.975500106811523,-82.533203125,41.9786,-87.9048
AA,CLT,TUS,6.15,35.2140007019043,-80.94309997558594,32.1161003112793,-110.94100189208984
AA,ORD,SNA,6.14,41.9786,-87.9048,33.67570114,-117.8679962
AA,CLT,AUS,6.13,35.2140007019043,-80.94309997558594,30.194499969482422,-97.6698989868164
AA,PHL,LAX,6.12,39.87189865112305,-75.24109649658203,33.94250107,-118.4079971
AA,SMF,DFW,6.09,38.69540023803711,-121.59100341796875,32.896801,-97.038002
AA,PHX,OGG,6.09,33.43429946899414,-112.01200103759766,20.8986,-156.429993
AA,BDL,ORD,6.09,41.9388999939,-72.68319702149999,41.9786,-87.9048
AA,OKC,DFW,6.09,35.39310073852539,-97.60070037841797,32.896801,-97.038002
AA,ORD,CLT,6.07,41.9786,-87.9048,35.2140007019043,-80.94309997558594
AA,RSW,DFW,6.03,26.53619956970215,-81.75520324707031,32.896801,-97.038002
AA,DCA,MSY,6.03,38.8521,-77.037697,29.99340057373047,-90.25800323486328
AA,PHL,PHX,6.02,39.87189865112305,-75.24109649658203,33.43429946899414,-112.01200103759766
AA,CLT,BNA,6.02,35.2140007019043,-80.94309997558594,36.1245002746582,-86.6781997680664
AA,AUS,PHX,6.01,30.194499969482422,-97.6698989868164,33.43429946899414,-112.01200103759766
AA,CLT,MSP,6.01,35.2140007019043,-80.94309997558594,44.882,-93.221802
AA,PHL,BNA,5.98,39.87189865112305,-75.24109649658203,36.1245002746582,-86.6781997680664
AA,AUS,DFW,5.97,30.194499969482422,-97.6698989868164,32.896801,-97.038002
AA,MSP,PHX,5.92,44.882,-93.221802,33.43429946899414,-112.01200103759766
AA,CLT,BUF,5.92,35.2140007019043,-80.94309997558594,42.94049835,-78.73220062
AA,SLC,MIA,5.91,40.78839874267578,-111.97799682617188,25.79319953918457,-80.29060363769531
AA,SAN,DFW,5.9,32.7336006165,-117.190002441,32.896801,-97.038002
AA,PHL,CHS,5.89,39.87189865112305,-75.24109649658203,32.89860153,-80.04049683
AA,PDX,PHX,5.88,45.58869934,-122.5979996,33.43429946899414,-112.01200103759766
