Airline,Origin,Destination,Total_Delay,Latitude_OR,Longitude_OR,Latitude_DEST,Longitude_DEST
UA,ABQ,ORD,13.38,35.040199,-106.609001,41.9786,-87.9048
UA,EWR,MSY,13.36,40.692501068115234,-74.168701171875,29.99340057373047,-90.25800323486328
UA,EWR,FLL,13.29,40.692501068115234,-74.168701171875,26.072599,-80.152702
UA,ATL,SFO,13.23,33.6367,-84.428101,37.61899948120117,-122.375
UA,ORD,ICT,13.21,41.9786,-87.9048,37.649899,-97.433098
UA,LAS,SJC,13.2,36.08010101,-115.1520004,37.362598,-121.929001
UA,ORD,GRR,13.17,41.9786,-87.9048,42.88079834,-85.52279663
UA,IAH,SFO,13.12,29.984399795532227,-95.34140014648438,37.61899948120117,-122.375
UA,SFO,BOS,13.02,37.61899948120117,-122.375,42.36429977,-71.00520325
UA,ORD,ALB,12.98,41.9786,-87.9048,42.74829864501953,-73.80169677734375
UA,PWM,IAD,12.96,43.64619827,-70.30930328,38.94449997,-77.45580292
UA,SFO,FAT,12.94,37.61899948120117,-122.375,36.77619934082031,-119.71800231933594
UA,PWM,ORD,12.89,43.64619827,-70.30930328,41.9786,-87.9048
UA,SFO,RNO,12.73,37.61899948120117,-122.375,39.49909973144531,-119.76799774169922
UA,SFO,ORD,12.71,37.61899948120117,-122.375,41.9786,-87.9048
UA,SFO,EWR,12.69,37.61899948120117,-122.375,40.692501068115234,-74.168701171875
UA,PIT,SFO,12.68,40.49150085,-80.23290253,37.61899948120117,-122.375
UA,BTR,IAH,12.6,30.533199,-91.149597,29.984399795532227,-95.34140014648438
UA,EWR,AVL,12.6,40.692501068115234,-74.168701171875,35.43619918823242,-82.54180145263672
UA,IAH,TUL,12.59,29.984399795532227,-95.34140014648438,36.19839859008789,-95.88809967041016
UA,AUS,SFO,12.57,30.194499969482422,-97.6698989868164,37.61899948120117,-122.375
UA,IAD,PDX,12.55,38.94449997,-77.45580292,45.58869934,-122.5979996
UA,SAN,SFO,12.51,32.7336006165,-117.190002441,37.61899948120117,-122.375
UA,EWR,SAV,12.48,40.692501068115234,-74.168701171875,32.12760162,-81.20210266
UA,BNA,IAD,12.44,36.1245002746582,-86.6781997680664,38.94449997,-77.45580292
UA,FAI,DEN,12.4,64.81510162,-147.8560028,39.861698150635,-104.672996521
UA,STL,SFO,12.39,38.748697,-90.370003,37.61899948120117,-122.375
UA,RDU,ORD,12.35,35.877601623535156,-78.7874984741211,41.9786,-87.9048
UA,ORD,BTV,12.31,41.9786,-87.9048,44.471900939899996,-73.15329742429999
